state,details,fill_var
Maine,"<b>Expansive:</b><br><a href=""https://legislature.maine.gov/legis/bills/display_ps.asp?LD=1977&snum=132""><b>ME L.D. 1977</b> (2025)</a><br>",Expansive Only
Maryland,"<b>Expansive:</b><br><a href=""https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0983?ys=2025RS""><b>MD H.B. 983 / S.B. 685</b> (2025)</a><br><a href=""https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0115?ys=2026RS"">MD H.B. 115 / S.B. 241 (2026)</a><br><a href=""https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0263?ys=2026RS"">MD H.B. 263 / S.B. 100 (2026)</a><br><a href=""https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0255?ys=2026RS""><b>MD S.B. 255</b> (2026)</a><br>",Expansive Only
Mississippi,"<b>Restrictive:</b><br><a href=""https://billstatus.ls.state.ms.us/2026/pdf/history/SB/SB2588.xml""><b>MS S.B. 2588</b> (2026)</a><br>",Restrictive or Election Interference Only
Missouri,"<b>Expansive:</b><br><a href=""https://house.mo.gov/Bill.aspx?bill=HB1871&year=2026&code=R""><b>MO H.B. 1871</b> (2026)</a><br>",Expansive Only
Montana,"<b>Restrictive:</b><br><a href=""https://bills.legmt.gov/#/laws/bill/2/LC2653""><b>MT H.B. 248</b> (2025)</a><br><a href=""https://bills.legmt.gov/#/laws/bill/2/LC1459"">MT H.B. 413 (2025)</a><br><a href=""https://bills.legmt.gov/#/laws/bill/2/LC2654""><b>MT H.B. 719</b> (2025)</a><br><a href=""https://bills.legmt.gov/#/laws/bill/2/LC0181""><b>MT S.B. 276</b> (2025)</a><br><a href=""https://bills.legmt.gov/#/laws/bill/2/LC0182"">MT S.B. 490 (2025)</a><br>",Restrictive or Election Interference Only
Nebraska,"<b>Restrictive:</b><br><a href=""https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=63306""><b>NE L.B. 1075</b> (2026)</a><br><b>Expansive:</b><br><a href=""https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=63306""><b>NE L.B. 1075</b> (2026)</a><br>",Mixed
Nevada,"<b>Expansive:</b><br><a href=""https://www.leg.state.nv.us/App/NELIS/REL/83rd2025/Bill/12487/Overview""><b>NV A.B. 367</b> (2025)</a><br>",Expansive Only
New Hampshire,"<b>Restrictive:</b><br><a href=""https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=930&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=SB218""><b>NH S.B. 218</b> (2025)</a><br><a href=""https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=406&sy=2026&sortoption=&txtsessionyear=2026&txtbillnumber=HB323""><b>NH H.B. 323</b> (2026)</a><br><b>Expansive:</b><br><a href=""https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=51&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=HB67""><b>NH H.B. 67</b> (2025)</a><br><a href=""https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=409&sy=2026&sortoption=&txtsessionyear=2026&txtbillnumber=HB365""><b>NH H.B. 365</b> (2026)</a><br><a href=""https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=557&sy=2026&sortoption=&txtsessionyear=2026&txtbillnumber=SB103""><b>NH S.B. 103</b> (2026)</a><br><b>Election Interference:</b><br><a href=""https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=930&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=SB218""><b>NH S.B. 218</b> (2025)</a><br><a href=""https://gc.nh.gov/bill_status/legacy/bs2016/bill_status.aspx?lsr=558&sy=2025&sortoption=&txtsessionyear=2025&txtbillnumber=HB154""><b>NH H.B. 154</b> (2025)</a><br>",Mixed
New Jersey,"<b>Expansive:</b><br><a href=""https://www.njleg.state.nj.us/bill-search/2024/S3990""><b>NJ S.B. 3990</b> (2025)</a><br><a href=""https://www.njleg.state.nj.us/bill-search/2026/A1715""><b>NJ A.B. 1715</b> (2026)</a><br><a href=""https://www.njleg.state.nj.us/bill-search/2026/A4745""><b>NJ A.B. 4745</b> (2026)</a><br><a href=""https://www.njleg.state.nj.us/bill-search/2024/S1636"">NJ S.B. 1636 (2024) </a><br><a href=""https://www.njleg.state.nj.us/bill-search/2024/S4835""><b>NJ S.B. 4835 (2025)</b> (2026)</a><br>",Expansive Only
North Carolina,"<b>Restrictive:</b><br><a href=""https://www.ncleg.gov/BillLookUp/2023/S382""><b>NC S.B. 382</b> (2024)</a><br><b>Expansive:</b><br><a href=""https://www.ncleg.gov/BillLookUp/2025/H834""><b>NC H.B. 834</b> (2026)</a><br><b>Election Interference:</b><br><a href=""https://www.ncleg.gov/BillLookUp/2023/S382""><b>NC S.B. 382</b> (2024)</a><br><a href=""https://www.ncleg.gov/BillLookUp/2025/H834""><b>NC H.B. 834</b> (2026)</a><br>",Mixed
